Station_MAC,First_time_seen,Last_time_seen,Power,packets,BSSID,Probed_ESSIDs,OUI
9A:D2:3D:11:A4:55,1690537911,1690537911,-59,1,(not associated),Galaxy A31CAED,9A:D2:3D
66:F2:A3:EF:8B:60,1690537911,1690537911,-61,2,(not associated),iPhone (Максим),66:F2:A3
D6:DD:11:88:7F:97,1690537911,1690537911,-61,2,(not associated),Not Probing,D6:DD:11
CE:C0:90:6B:E5:A2,1690537912,1690537912,-55,10,(not associated),Not Probing,CE:C0:90
9E:C1:0C:7A:B5:CB,1690537912,1690537912,-39,1,(not associated),Not Probing,9E:C1:0C
FE:78:2A:3B:68:C5,1690537912,1690537912,-43,2,(not associated),Not Probing,FE:78:2A
56:EB:B2:FB:F6:8B,1690537913,1690537913,-73,2,(not associated),Not Probing,56:EB:B2
B2:BB:F9:0B:49:73,1690537916,1690537916,-59,2,(not associated),Not Probing,B2:BB:F9
46:7F:DB:74:E6:ED,1690537919,1690537919,-47,8,(not associated),Not Probing,46:7F:DB
86:B9:4C:93:B7:FA,1690537919,1690537919,-61,1,(not associated),Not Probing,86:B9:4C
4A:DA:97:F4:40:5E,1690537919,1690537919,-57,1,(not associated),Avenue611,4A:DA:97
16:28:69:A0:7C:AB,1690537919,1690537919,-59,1,(not associated),iPhone (Максим),16:28:69
E2:14:D3:21:EC:27,1690537919,1690537919,-63,1,(not associated),HONOR 30,E2:14:D3
9A:29:57:94:AE:4A,1690537919,1690537919,-59,1,(not associated),iPhone (Дима ),9A:29:57
AA:2F:2D:0A:7B:61,1690537919,1690537919,-61,1,(not associated),iPhone (Максим),AA:2F:2D
0E:3C:75:E3:82:CD,1690537919,1690537919,-67,2,(not associated),Avenue611,0E:3C:75
EA:B0:FB:99:1D:37,1690537919,1690537919,-65,2,(not associated),iPhone (Максим),EA:B0:FB
BA:1B:61:A5:2B:B9,1690537919,1690537919,-67,2,(not associated),Galaxy A31CAED,BA:1B:61
D6:28:5B:BB:E8:23,1690537919,1690537919,-67,1,(not associated),iPhone (Дима ),D6:28:5B
F6:0E:1F:D4:F6:E7,1690537919,1690537919,-65,1,(not associated),Not Probing,F6:0E:1F
F6:91:0D:24:9B:65,1690537919,1690537919,-67,1,(not associated),HONOR 30,F6:91:0D
12:1D:EC:42:E9:94,1690537919,1690537919,-69,1,(not associated),Galaxy A31CAED,12:1D:EC
CA:85:C5:1A:87:49,1690537919,1690537919,-67,1,(not associated),HONOR 30,CA:85:C5
56:7E:B9:A5:0B:20,1690537922,1690537922,-59,1,(not associated),Not Probing,56:7E:B9
3E:AB:EE:C0:CF:26,1690537922,1690537922,-55,1,(not associated),Not Probing,3E:AB:EE
